strategy,slot,poi_id,poi_name,district,lat,lon,nominal_capacity,capacity,occupancy,load_ratio
popularity,0,P001,Sagrada Familia,Eixample,41.4036,2.1744,900,495.00000000000006,295,0.5959595959595959
popularity,0,P002,Casa Batllo,Eixample,41.3917,2.1649,500,275.0,118,0.4290909090909091
popularity,0,P003,La Pedrera,Eixample,41.3954,2.1619,550,302.5,94,0.31074380165289256
popularity,0,P004,Sant Antoni Market,Eixample,41.3789,2.16,700,385.00000000000006,6,0.015584415584415583
popularity,0,P005,Palau Robert Gardens,Eixample,41.3975,2.1598,650,357.50000000000006,0,0.0
popularity,0,P006,Monumental Bullring,Eixample,41.4005,2.1807,450,247.50000000000003,0,0.0
popularity,0,P007,Barcelona Cathedral,Ciutat Vella,41.3839,2.1762,650,357.50000000000006,269,0.7524475524475523
popularity,0,P008,Picasso Museum,Ciutat Vella,41.3853,2.1809,500,275.0,34,0.12363636363636364
popularity,0,P009,La Boqueria Market,Ciutat Vella,41.3817,2.1716,850,467.50000000000006,665,1.4224598930481283
popularity,0,P010,Santa Maria del Mar,Ciutat Vella,41.3839,2.1821,550,302.5,109,0.3603305785123967
popularity,0,P011,Maritime Museum,Ciutat Vella,41.3763,2.1752,600,330.0,0,0.0
popularity,0,P012,Barceloneta Beach,Ciutat Vella,41.3784,2.1925,1400,770.0000000000001,676,0.8779220779220778
popularity,0,P013,Montjuic Castle,Sants-Montjuic,41.3634,2.1662,650,357.50000000000006,0,0.0
popularity,0,P014,MNAC,Sants-Montjuic,41.3686,2.1536,700,385.00000000000006,6,0.015584415584415583
popularity,0,P015,Poble Espanyol,Sants-Montjuic,41.3693,2.1479,800,440.00000000000006,0,0.0
popularity,0,P016,Joan Miro Foundation,Sants-Montjuic,41.368,2.1597,500,275.0,0,0.0
popularity,0,P017,Montjuic Botanical Garden,Sants-Montjuic,41.3627,2.1592,650,357.50000000000006,0,0.0
popularity,0,P018,Hostafrancs Market,Sants-Montjuic,41.3752,2.1437,500,275.0,0,0.0
popularity,0,P019,Camp Nou Experience,Les Corts,41.3809,2.1228,1000,550.0,0,0.0
popularity,0,P020,Pedralbes Monastery,Les Corts,41.3951,2.112,400,220.00000000000003,0,0.0
popularity,0,P021,Pedralbes Gardens,Les Corts,41.3881,2.1176,750,412.50000000000006,0,0.0
popularity,0,P022,Ceramics Museum,Les Corts,41.3882,2.1174,300,165.0,0,0.0
popularity,0,P023,Les Corts Market,Les Corts,41.3861,2.1355,500,275.0,0,0.0
popularity,0,P024,Can Deu Civic Centre,Les Corts,41.3883,2.1343,300,165.0,0,0.0
popularity,0,P025,Tibidabo,Sarria-Sant Gervasi,41.4225,2.1186,900,495.00000000000006,0,0.0
popularity,0,P026,Sagrat Cor Tibidabo,Sarria-Sant Gervasi,41.422,2.1185,500,275.0,0,0.0
popularity,0,P027,CosmoCaixa,Sarria-Sant Gervasi,41.4132,2.131,800,440.00000000000006,22,0.049999999999999996
popularity,0,P028,Collserola Nature Park,Sarria-Sant Gervasi,41.4194,2.099,1200,660.0,0,0.0
popularity,0,P029,Sarria Market,Sarria-Sant Gervasi,41.4007,2.1195,450,247.50000000000003,0,0.0
popularity,0,P030,Tamarita Gardens,Sarria-Sant Gervasi,41.4093,2.132,500,275.0,0,0.0
popularity,0,P031,Park Guell,Gracia,41.4145,2.1527,1100,605.0,516,0.8528925619834711
popularity,0,P032,Casa Vicens,Gracia,41.4035,2.1506,350,192.50000000000003,0,0.0
popularity,0,P033,Placa del Sol,Gracia,41.4013,2.157,650,357.50000000000006,0,0.0
popularity,0,P034,Abaceria Market,Gracia,41.4036,2.1587,450,247.50000000000003,0,0.0
popularity,0,P035,Park de la Creueta del Coll,Gracia,41.4187,2.147,800,440.00000000000006,0,0.0
popularity,0,P036,Refugi Antiaeri Placa del Diamant,Gracia,41.4046,2.1566,220,121.00000000000001,0,0.0
popularity,0,P037,Hospital de Sant Pau,Horta-Guinardo,41.4117,2.1744,600,330.0,0,0.0
