tourist_id,strategy,slot,rank,poi_id,poi_name,final_score,interest,personal_relevance,crowd_comfort,distance_fit,selected
140,popularity,0,1,P031,Park Guell,0.964,0.2,0.37638611888111884,1.0,1.0,0
140,popularity,0,2,P009,La Boqueria Market,0.955,0.2,0.534215,1.0,1.0,0
140,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5406118398268398,0.9982683982683983,1.0,0
140,popularity,0,4,P055,Ciutadella Park,0.883,0.2,0.540785,1.0,1.0,1
140,popularity,0,5,P010,Santa Maria del Mar,0.748,0.2,0.46497555944055946,1.0,1.0,0
111,popularity,0,1,P001,Sagrada Familia,1.0,0.2,0.37207865488097014,0.9959595959595959,1.0,1
111,popularity,0,2,P009,La Boqueria Market,0.955,0.2,0.5071413725490197,0.9843137254901961,1.0,0
111,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5373173593073594,0.9930735930735931,1.0,0
111,popularity,0,4,P003,La Pedrera,0.91,0.6,0.585326748768473,1.0,1.0,0
111,popularity,0,5,P007,Barcelona Cathedral,0.892,0.2,0.4286318941977563,0.9981351981351981,1.0,0
185,popularity,0,1,P009,La Boqueria Market,0.955,0.2,0.5206113725490197,0.9843137254901961,1.0,0
185,popularity,0,2,P012,Barceloneta Beach,0.919,0.2,0.5508473593073593,0.9930735930735931,1.0,0
185,popularity,0,3,P055,Ciutadella Park,0.883,0.2,0.5509743434343435,0.9943434343434343,1.0,0
185,popularity,0,4,P010,Santa Maria del Mar,0.748,0.6,0.6584743199280282,0.9955922865013774,1.0,0
185,popularity,0,5,P027,CosmoCaixa,0.685,0.2,0.4293021095334686,1.0,1.0,1
151,popularity,0,1,P001,Sagrada Familia,1.0,0.2,0.41338448200598954,0.9919191919191919,1.0,0
151,popularity,0,2,P031,Park Guell,0.964,0.2,0.4331965546741975,0.9834710743801653,1.0,1
151,popularity,0,3,P009,La Boqueria Market,0.955,0.2,0.5333983600713013,0.9771836007130125,1.0,0
151,popularity,0,4,P012,Barceloneta Beach,0.919,0.2,0.5222015584415585,0.9844155844155844,1.0,0
151,popularity,0,5,P003,La Pedrera,0.91,0.2,0.40795006658637545,0.9977961432506887,1.0,0
104,popularity,0,1,P031,Park Guell,0.964,0.2,0.42301626215305754,0.981267217630854,1.0,0
104,popularity,0,2,P009,La Boqueria Market,0.955,0.2,0.5247851426024955,0.9672014260249554,1.0,0
104,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5443633982683983,0.9826839826839827,1.0,0
104,popularity,0,4,P007,Barcelona Cathedral,0.892,0.2,0.40470039617300063,0.9962703962703963,1.0,0
104,popularity,0,5,P055,Ciutadella Park,0.883,0.2,0.5448828787878788,0.9878787878787879,1.0,1
4,popularity,0,1,P001,Sagrada Familia,1.0,0.2,0.42474333750347515,0.9878787878787879,1.0,0
4,popularity,0,2,P031,Park Guell,0.964,0.2,0.46873766636338365,0.9790633608815427,1.0,0
4,popularity,0,3,P009,La Boqueria Market,0.955,0.2,0.5108399376114082,0.964349376114082,1.0,1
4,popularity,0,4,P002,Casa Batllo,0.946,0.2,0.3964648832360301,0.9927272727272727,1.0,0
4,popularity,0,5,P012,Barceloneta Beach,0.919,0.2,0.5452168181818182,0.9818181818181818,1.0,0
91,popularity,0,1,P001,Sagrada Familia,1.0,0.6,0.6814398085060549,0.9851851851851852,1.0,0
91,popularity,0,2,P031,Park Guell,0.964,0.2,0.4735812526652635,0.9735537190082645,1.0,0
91,popularity,0,3,P009,La Boqueria Market,0.955,1.0,0.9797995276292335,0.9586452762923351,1.0,1
91,popularity,0,4,P002,Casa Batllo,0.946,0.2,0.4339083857058328,0.9903030303030304,1.0,0
91,popularity,0,5,P012,Barceloneta Beach,0.919,0.2,0.5289870779220779,0.9792207792207792,1.0,0
119,popularity,0,1,P009,La Boqueria Market,0.955,0.2,0.5204793226381461,0.9557932263814617,1.0,0
119,popularity,0,2,P012,Barceloneta Beach,0.919,0.2,0.5089289177489178,0.9774891774891775,1.0,1
119,popularity,0,3,P055,Ciutadella Park,0.883,0.2,0.5130446464646465,0.9846464646464647,1.0,0
119,popularity,0,4,P010,Santa Maria del Mar,0.748,1.0,0.8829281710384478,0.9933884297520661,1.0,0
119,popularity,0,5,P027,CosmoCaixa,0.685,0.6,0.6542156785243742,0.9984848484848485,1.0,0
100,popularity,0,1,P031,Park Guell,0.964,0.2,0.3848642041215974,0.965840220385675,1.0,0
100,popularity,0,2,P009,La Boqueria Market,0.955,1.0,0.9764163101604278,0.9486631016042781,1.0,0
100,popularity,0,3,P012,Barceloneta Beach,0.919,0.6,0.7510257575757575,0.9757575757575757,1.0,0
100,popularity,0,4,P055,Ciutadella Park,0.883,0.2,0.5316722222222222,0.9822222222222222,1.0,0
100,popularity,0,5,P010,Santa Maria del Mar,0.748,0.2,0.4799439340167216,0.9933884297520661,1.0,1
106,popularity,0,1,P031,Park Guell,0.964,1.0,0.8971809330626199,0.9647382920110192,1.0,0
106,popularity,0,2,P009,La Boqueria Market,0.955,0.2,0.5140735026737968,0.9443850267379679,1.0,0
106,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5529407575757576,0.9757575757575757,1.0,0
106,popularity,0,4,P007,Barcelona Cathedral,0.892,0.2,0.4253070642872441,0.9888111888111888,1.0,0
106,popularity,0,5,P055,Ciutadella Park,0.883,1.0,0.9935872222222223,0.9822222222222222,1.0,1
170,popularity,0,1,P001,Sagrada Familia,1.0,0.2,0.4609428239383079,0.9824915824915825,1.0,1
170,popularity,0,2,P031,Park Guell,0.964,0.2,0.46636754465475877,0.9603305785123967,1.0,0
170,popularity,0,3,P009,La Boqueria Market,0.955,0.2,0.5328080926916221,0.9386809269162211,1.0,0
170,popularity,0,4,P002,Casa Batllo,0.946,0.2,0.4353310068426197,0.9903030303030304,1.0,0
170,popularity,0,5,P012,Barceloneta Beach,0.919,0.6,0.7532028571428571,0.9714285714285714,1.0,0
95,popularity,0,1,P031,Park Guell,0.964,0.2,0.34106663911845736,0.9548209366391185,1.0,0
95,popularity,0,2,P009,La Boqueria Market,0.955,0.6,0.7316450802139037,0.9315508021390374,1.0,1
95,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5257936363636364,0.9636363636363636,1.0,0
95,popularity,0,4,P055,Ciutadella Park,0.883,0.2,0.5302441414141414,0.9741414141414142,1.0,0
95,popularity,0,5,P010,Santa Maria del Mar,0.748,0.2,0.4391653443526171,0.9889807162534435,1.0,0
54,popularity,0,1,P031,Park Guell,0.964,0.2,0.3854618519011492,0.9515151515151515,1.0,1
54,popularity,0,2,P009,La Boqueria Market,0.955,1.0,0.9722142602495545,0.9201426024955437,1.0,0
54,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5302978354978355,0.954978354978355,1.0,0
54,popularity,0,4,P055,Ciutadella Park,0.883,0.2,0.5317292929292929,0.9692929292929293,1.0,0
54,popularity,0,5,P010,Santa Maria del Mar,0.748,0.2,0.47911324000016137,0.9889807162534435,1.0,0
50,popularity,0,1,P009,La Boqueria Market,0.955,0.2,0.5106730303030304,0.9030303030303031,1.0,0
50,popularity,0,2,P012,Barceloneta Beach,0.919,0.2,0.5200954545454546,0.9454545454545454,1.0,1
50,popularity,0,3,P007,Barcelona Cathedral,0.892,0.2,0.42794575757575753,0.9757575757575757,1.0,0
50,popularity,0,4,P055,Ciutadella Park,0.883,0.2,0.5255560606060606,0.9660606060606061,1.0,0
50,popularity,0,5,P008,Picasso Museum,0.874,0.2,0.4238427272727273,0.9927272727272727,1.0,0
77,popularity,0,1,P031,Park Guell,0.964,0.2,0.4150940535222354,0.9360881542699725,1.0,0
77,popularity,0,2,P009,La Boqueria Market,0.955,0.6,0.7322304278074866,0.9016042780748663,1.0,1
77,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5319757142857143,0.9428571428571428,1.0,0
77,popularity,0,4,P007,Barcelona Cathedral,0.892,0.2,0.40929261072261075,0.9738927738927738,1.0,0
77,popularity,0,5,P055,Ciutadella Park,0.883,0.2,0.5376152525252526,0.9652525252525253,1.0,0
115,popularity,0,1,P001,Sagrada Familia,1.0,0.2,0.3580686240195499,0.9555555555555556,1.0,0
115,popularity,0,2,P009,La Boqueria Market,0.955,0.2,0.4875961853832443,0.8773618538324421,1.0,0
115,popularity,0,3,P012,Barceloneta Beach,0.919,0.2,0.5379072727272728,0.9272727272727272,1.0,1
115,popularity,0,4,P003,La Pedrera,0.91,0.2,0.3541690684327229,0.9889807162534435,1.0,0
115,popularity,0,5,P007,Barcelona Cathedral,0.892,0.2,0.41563589467408557,0.9627039627039627,1.0,0
62,popularity,0,1,P001,Sagrada Familia,1.0,0.2,0.3854531961752929,0.9555555555555556,1.0,0
62,popularity,0,2,P031,Park Guell,0.964,0.6,0.6891200185897062,0.9261707988980716,1.0,0
62,popularity,0,3,P009,La Boqueria Market,0.955,0.2,0.5088485828877005,0.8759358288770054,1.0,1
62,popularity,0,4,P012,Barceloneta Beach,0.919,0.2,0.5463856926406927,0.9264069264069265,1.0,0
62,popularity,0,5,P003,La Pedrera,0.91,0.2,0.37869129998506146,0.9889807162534435,1.0,0
49,popularity,0,1,P031,Park Guell,0.964,0.2,0.3300424530900775,0.925068870523416,1.0,1
49,popularity,0,2,P009,La Boqueria Market,0.955,1.0,0.973085980392157,0.8745098039215686,1.0,0
