replication,seed,population,strategy,peak_load_ratio,overcrowded_poi_time_pct,top_10_visit_share,visit_gini,district_entropy,catalog_coverage,tourist_satisfaction,recommendation_acceptance,mean_distance_km,budget_compliance,precision_at_5,recall_at_5,diversity,novelty,exposure_fairness,mean_sustainability,mean_local_economic,completed_visit_share
0,1000,5000,popularity,1.4203208556149731,1.6666666666666667,0.7704,0.8551733333333333,0.7173938326840456,0.38333333333333336,0.5309428762725747,0.2892,1.713757041317176,1.0,0.15447,0.1533104024716254,0.893525,0.1814581,0.14482666666666666,0.6785455,0.6075245000000001,1.0
0,1000,5000,personalized,0.7490909090909091,0.0,0.1352,0.3596033333333335,0.9741986886275619,0.9833333333333333,0.788335424995973,0.29585,2.5987392654417367,1.0,0.7098200000000001,0.5787892818425985,0.33057000000000003,0.5413332,0.6403966666666665,0.8066535,0.72242,1.0
0,1000,5000,sustainability,0.68,0.0,0.0765,0.40844000000000014,0.9999997936992006,0.9666666666666667,0.7196299619476019,0.31,2.3787256618298973,1.0,0.42473,0.3275266450525738,0.8796400000000002,0.5680791999999999,0.5915599999999999,0.820427,0.7456400000000002,1.0
1,1001,5000,popularity,1.3668449197860961,1.6666666666666667,0.77845,0.856595,0.6688223395116646,0.4,0.5299613691697165,0.2854,1.7140751258624127,1.0,0.15346,0.1496884419212109,0.8918500000000001,0.180407,0.143405,0.6780800000000001,0.6062675,1.0
1,1001,5000,personalized,0.7709090909090909,0.0,0.13645,0.3557366666666668,0.974781447755379,0.9666666666666667,0.7856731714446727,0.2938,2.5790838513859127,1.0,0.70386,0.5726204246316977,0.33933499999999994,0.5400216,0.6442633333333332,0.8056295,0.722346,1.0
1,1001,5000,sustainability,0.6727272727272727,0.0,0.07715,0.409605,0.9999997068185318,0.9833333333333333,0.71559969803167,0.3063,2.4340498979199916,1.0,0.42198,0.3250272813619988,0.8809800000000001,0.5700175000000001,0.590395,0.8198669999999998,0.747976,1.0
2,1002,5000,popularity,1.3989304812834222,1.6666666666666667,0.7755,0.85494,0.6731619426784884,0.4,0.5304405967192937,0.2855,1.7300308080169875,1.0,0.15178,0.15244931135363607,0.891335,0.1804268,0.14505999999999997,0.6783005000000001,0.607206,1.0
2,1002,5000,personalized,0.6690909090909091,0.0,0.13735,0.35846500000000003,0.9748726438838309,0.9833333333333333,0.784018580694006,0.2946,2.585165597535498,1.0,0.6984100000000001,0.57130175374097,0.33471500000000004,0.5402597000000001,0.641535,0.8066955,0.7213975,1.0
2,1002,5000,sustainability,0.6945454545454546,0.0,0.0778,0.41183666666666663,0.9999997502805917,0.9833333333333333,0.7146565805141994,0.3035,2.42260188602386,1.0,0.4197200000000001,0.3302790305901529,0.88,0.5685108,0.5881633333333334,0.8198404999999999,0.7474410000000001,1.0
3,1003,5000,popularity,1.413903743315508,1.6666666666666667,0.77975,0.85642,0.6683188878209205,0.4,0.5307317606344767,0.2852,1.7012212672760878,1.0,0.15356000000000003,0.15090205955293418,0.8924,0.1798765,0.14358000000000004,0.6781535000000002,0.6055964999999999,1.0
